item_name,item_key_norm,predicted_count,gold_count,TP,FP,FN,predicted_tokens,gold_tokens,tp_tokens,fp_tokens,fn_tokens
การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,การแสดงโขนเรื่องรามเกียรติ์ ตอน นารายณ์ปราบนนทก,15,13,13,2,0,"กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, รามเกียรติ์, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา","กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา","กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา","พระศิวะ, รามเกียรติ์",
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,15,15,13,2,2,"กิจจะ, ตัวพระ, ต่อสู้, นักษัตร, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระองค์, พระอิศวร, รามเกียรติ์, อวตาร, อาวุธ, เขาไกรลาส, เข้าเฝ้า","กิจจะ, ตัวพระ, ต่อสู้, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, อวตาร, อาวุธ, เขาไกรลาส, เข้าเฝ้า","กิจจะ, ตัวพระ, ต่อสู้, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระองค์, พระอิศวร, อวตาร, อาวุธ, เขาไกรลาส, เข้าเฝ้า","นักษัตร, รามเกียรติ์","พระนารายณ์, พระศิวะ"
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,11,10,10,1,0,"กลอุบาย, กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราชบัญชา, พระราม, มารีศ, รามเกียรติ์, แปลงกาย","กลอุบาย, กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราชบัญชา, พระราม, มารีศ, แปลงกาย","กลอุบาย, กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราชบัญชา, พระราม, มารีศ, แปลงกาย",รามเกียรติ์,
การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,12,10,10,2,0,"ขีดขิน, นักษัตร, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, รามเกียรติ์, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา","ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา","ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา","นักษัตร, รามเกียรติ์",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,13,12,12,1,0,"กรุงลงกา, กวางทอง, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, รามเกียรติ์, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน","กรุงลงกา, กวางทอง, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน","กรุงลงกา, กวางทอง, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน",รามเกียรติ์,
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,15,23,14,1,9,"กราบทูล, กองทัพ, กาลสูร, ช้างเอราวัณ, ทำพิธี, นางฟ้า, พรหมาสตร์, พระราม, พระอินทร์, รามเกียรติ์, รุทการ, สิ้นชีวิต, อินทรชิต, แปลงกาย, แปลงตัว","กราบทูล, กองทัพ, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, ทำพิธี, นางฟ้า, พรหมาสตร์, พระราม, พระอินทร์, มังกรกัณฐ์, รับสั่ง, รุทการ, ศรพรหมาสตร์, สังหาร, สิ้นชีวิต, อินทรชิต, เทวดา, แปลงกาย, แปลงตัว, แสงอาทิตย์, ไพร่พล","กราบทูล, กองทัพ, กาลสูร, ช้างเอราวัณ, ทำพิธี, นางฟ้า, พรหมาสตร์, พระราม, พระอินทร์, รุทการ, สิ้นชีวิต, อินทรชิต, แปลงกาย, แปลงตัว",รามเกียรติ์,"การุณราช, ทศกัณฐ์, มังกรกัณฐ์, รับสั่ง, ศรพรหมาสตร์, สังหาร, เทวดา, แสงอาทิตย์, ไพร่พล"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,15,23,14,1,9,"คู่ใจ, จารึก, ท้าวลัสเตียน, นิลพาหุ, พญาทูษณ์, พระราม, พลวานร, มารดา, รับอาสา, รามเกียรติ์, วิรุญจำบัง, สัทธาสูร, หายตัว, อาสา, โอรส","กรุงลงกา, คู่ใจ, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, พญาทูษณ์, พระราม, พลวานร, มารดา, รัชฎา, รับอาสา, วานร, วิรุญจำบัง, วิรุณจำบัง, สงคราม, สมทบ, สัทธาสูร, หายตัว, อาสา, โอรส","คู่ใจ, จารึก, ท้าวลัสเตียน, นิลพาหุ, พญาทูษณ์, พระราม, พลวานร, มารดา, รับอาสา, วิรุญจำบัง, สัทธาสูร, หายตัว, อาสา, โอรส",รามเกียรติ์,"กรุงลงกา, ทศกัณฐ์, ท้าวสัทธาสูร, นางสีดา, รัชฎา, วานร, วิรุณจำบัง, สงคราม, สมทบ"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,15,22,14,1,8,"ชามพูวราช, ทำพิธี, พระราม, พิเภก, รับอาสา, รามเกียรติ์, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส","ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, ทำพิธี, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส","ชามพูวราช, ทำพิธี, พระราม, พิเภก, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส",รามเกียรติ์,"ขัดตาทัพ, ข่ายเหล็ก, ทศกัณฐ์, พระลักษมณ์, พลลิง, มังกรกัณฐ์, สมรภูมิ, หนุมาน"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,15,22,14,1,8,"ขี่ม้า, ข่ายเพชร, จนตาย, ต่อสู้, บอกทาง, พระยา, พระราม, ฟองน้ำ, ภูเขา, รามเกียรติ์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, ออกอุบาย, อาวุธ","ขี่ม้า, ข่ายเพชร, จนตาย, ดินดาล, ต่อสู้, ทศกัณฐ์, บอกทาง, พระยา, พระราม, ฟองน้ำ, ภูเขา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, ออกอุบาย, อาวุธ, เขาสัตภัณฑ์, เทวดา","ขี่ม้า, ข่ายเพชร, จนตาย, ต่อสู้, บอกทาง, พระยา, พระราม, ฟองน้ำ, ภูเขา, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, ออกอุบาย, อาวุธ",รามเกียรติ์,"ดินดาล, ทศกัณฐ์, วานร, วานรินทร์, หนุมาน, หลบหนี, เขาสัตภัณฑ์, เทวดา"
การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกแสงอาทิตย์,14,13,13,1,0,"กองทัพ, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, รามเกียรติ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส",รามเกียรติ์,
การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,10,9,9,1,0,"กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, รามเกียรติ์, สุครีพ, หนุมาน, หมดแรง, องคต, ออกอุบาย","กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, ออกอุบาย","กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, ออกอุบาย",รามเกียรติ์,
การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,15,14,14,1,0,"กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, รามเกียรติ์, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, ออกศึก, ออกอุบาย, เชษฐา","กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, ออกศึก, ออกอุบาย, เชษฐา","กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, ออกศึก, ออกอุบาย, เชษฐา",รามเกียรติ์,
การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,การแสดงโขนเรื่องรามเกียรติ์ ตอน หนุมานชาญสมร,15,21,14,1,7,"กรุงลงกา, กองทัพ, จำกาย, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระองค์, พลับพลา, รับใช้, รามเกียรติ์, สวามิภักดิ์, หนุมาน, เขี้ยวแก้ว","กรุงลงกา, กองทัพ, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระองค์, พระอิศวร, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว","กรุงลงกา, กองทัพ, จำกาย, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระองค์, พลับพลา, รับใช้, สวามิภักดิ์, หนุมาน, เขี้ยวแก้ว",รามเกียรติ์,"กุณฑล, ขนเพชร, ทหารเอก, นางสวาหะ, พระอิศวร, วานร, อวตาร"
กินนรีร่อนออกมโนราห์บูชายัญ,กินนรีร่อนออกมโนราห์บูชายัญ,8,7,7,1,0,"กระบวนท่ารำ, กินรี, นางกินรี, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","กระบวนท่ารำ, กินรี, นางกินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","กระบวนท่ารำ, กินรี, นางกินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ",บูชายัญ,
กีปัสเรนัง,กีปัสเรนัง,9,7,7,2,0,"ขบวนแห่, ขับไล่, ชาวพื้นเมือง, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู","ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, มลายู","ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, มลายู","ชาวพื้นเมือง, ภาคใต้",
จตุรภาคี,จตุรภาคี,8,8,7,1,1,"ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง","ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ลําเพลิน, สี่ภาค, เถิดเทิง","ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, สี่ภาค, เถิดเทิง",ภาคใต้,ลําเพลิน
ฉุยฉายทศกัณฐ์ลงสวน,ฉุยฉายทศกัณฐ์ลงสวน,7,7,7,0,0,"กรุงลงกา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, มือขวา, รามเกียรติ์","กรุงลงกา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, มือขวา, รามเกียรติ์","กรุงลงกา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, มือขวา, รามเกียรติ์",,
ฉุยฉายพราหมณ์,ฉุยฉายพราหมณ์,13,11,11,2,0,"ฉุยฉาย, ชาวพื้นเมือง, พระคเณศ, พระนารายณ์, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย","ฉุยฉาย, พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย","ฉุยฉาย, พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย","ชาวพื้นเมือง, พระศิวะ",
ฉุยฉายยอพระกลิ่น,ฉุยฉายยอพระกลิ่น,9,9,9,0,0,"ฉุยฉาย, นางเอก, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี, ออกเดินทาง, เดินทาง","ฉุยฉาย, นางเอก, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี, ออกเดินทาง, เดินทาง","ฉุยฉาย, นางเอก, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี, ออกเดินทาง, เดินทาง",,
ฉุยฉายวันทอง,ฉุยฉายวันทอง,8,8,8,0,0,"กลอุบาย, ขุนแผน, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","กลอุบาย, ขุนแผน, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","กลอุบาย, ขุนแผน, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย",,
ฉุยฉายศูรปนขา,ฉุยฉายศูรปนขา,8,8,8,0,0,"ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, รามเกียรติ์, ศูรปนขา, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, รามเกียรติ์, ศูรปนขา, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, รามเกียรติ์, ศูรปนขา, แปลงกาย",,
ฉุยฉายหนุมานทรงเครื่อง,ฉุยฉายหนุมานทรงเครื่อง,11,11,11,0,0,"ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องแบบ, เดินทาง","ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องแบบ, เดินทาง","ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องแบบ, เดินทาง",,
ฉุยฉายเบญกาย,ฉุยฉายเบญกาย,8,8,8,0,0,"ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, รามเกียรติ์, สงคราม, เบญกาย, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, รามเกียรติ์, สงคราม, เบญกาย, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, รามเกียรติ์, สงคราม, เบญกาย, แปลงกาย",,
ชาติพันธุ์สราญ,ชาติพันธุ์สราญ,10,9,9,1,0,"กลุ่มชาติพันธุ์, งานรื่นเริง, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, ไทยจีน, ไทยทรงดำ, ไทยรามัญ","กลุ่มชาติพันธุ์, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, ไทยจีน, ไทยทรงดำ, ไทยรามัญ","กลุ่มชาติพันธุ์, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",งานรื่นเริง,
ชาวดอย,ชาวดอย,4,2,2,2,0,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ภาคเหนือ, เกษตรกรรม","ภาคเหนือ, เกษตรกรรม","ภาคเหนือ, เกษตรกรรม","การละเล่นพื้นเมือง, ชาวพื้นเมือง",
ชุมนุมฉุยฉาย,ชุมนุมฉุยฉาย,3,3,3,0,0,"ฉุยฉาย, ชุมนุม, พราหมณ์","ฉุยฉาย, ชุมนุม, พราหมณ์","ฉุยฉาย, ชุมนุม, พราหมณ์",,
ตะกล้อล้อท่า,ตะกล้อล้อท่า,10,13,7,3,6,"กระบวนท่ารำ, การละเล่นพื้นเมือง, ชาวพื้นเมือง, ตะกร้อ, ตีลังกา, นานาชาติ, ระดับชาติ, ศีรษะ, สากล, แม่ท่า","การต่อสู้, ความคล่องแคล่ว, ตะกร้อ, ตีลังกา, ต่อสู้, นานาชาติ, ป้องกันตัว, ฟาดฟัน, ระดับชาติ, ศีรษะ, สากล, อาวุธ, แม่ท่า","ตะกร้อ, ตีลังกา, นานาชาติ, ระดับชาติ, ศีรษะ, สากล, แม่ท่า","กระบวนท่ารำ, การละเล่นพื้นเมือง, ชาวพื้นเมือง","การต่อสู้, ความคล่องแคล่ว, ต่อสู้, ป้องกันตัว, ฟาดฟัน, อาวุธ"
นบนที,นบนที,5,5,4,1,1,"ขอขมา, พระแม่คงคา, ลอยกระทง, สายน้ำ, สิ่งศักดิ์สิทธิ์","ขอขมา, พระแม่คงคา, ลอยกระทง, สายนํ้า, สิ่งศักดิ์สิทธิ์","ขอขมา, พระแม่คงคา, ลอยกระทง, สิ่งศักดิ์สิทธิ์",สายน้ำ,สายนํ้า
นักษัตร,นักษัตร,4,3,3,1,0,"กระบวนท่ารำ, นักษัตร, เคลื่อนไหว, เวที","นักษัตร, เคลื่อนไหว, เวที","นักษัตร, เคลื่อนไหว, เวที",กระบวนท่ารำ,
