ลำดับ,ชื่อชุดการแสดง,words,match_sources
11,ฟ้อนขันดอก,"กระบวนท่ารำ, การโปรย, ขันดอก, ดอกไม้, ภาคเหนือ, ล้านนา",กระบวนท่ารำ:desc_fuzzy; การโปรย:desc_exact; ขันดอก:name_exact; ดอกไม้:desc_exact; ภาคเหนือ:desc_exact; ล้านนา:desc_exact
12,นบนที,"ขอขมา, พระแม่คงคา, ลอยกระทง, สายน้ำ, สิ่งศักดิ์สิทธิ์",ขอขมา:desc_exact; พระแม่คงคา:desc_exact; ลอยกระทง:desc_exact; สายน้ำ:desc_exact; สิ่งศักดิ์สิทธิ์:desc_exact
13,นาฏ ณ วัง,"พระราชวังบวรสถานมงคล, วังหน้า, หนังใหญ่, เคลื่อนไหว, เวที",พระราชวังบวรสถานมงคล:desc_exact; วังหน้า:desc_exact; หนังใหญ่:desc_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact
14,ฟ้อนลีลาวดี,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ต้นลีลาวดี, พระอุโบสถ, วังหน้า, สุทธาวาส",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ต้นลีลาวดี:desc_exact; พระอุโบสถ:desc_exact; วังหน้า:desc_exact; สุทธาวาส:desc_exact
15,ผืนไท,"ธงไทย, นักษัตร, พระมหากษัตริย์, อาณาประชาราษฎร์, เคลื่อนไหว, เวที, ไตรรงค์",ธงไทย:desc_exact; นักษัตร:desc_exact; พระมหากษัตริย์:desc_exact; อาณาประชาราษฎร์:desc_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact; ไตรรงค์:desc_exact
16,ระบำม้า,"การสอน, ธิเบศร์, บุรี, ยมะ, ระบำมาตรฐาน, ออกเดินทาง, เดินทาง",การสอน:desc_exact; ธิเบศร์:desc_exact; บุรี:desc_exact; ยมะ:desc_exact; ระบำมาตรฐาน:name_fuzzy; ออกเดินทาง:desc_exact; เดินทาง:desc_exact
17,ล่องใต้,"ภาคใต้, ล่องใต้",ภาคใต้:desc_exact; ล่องใต้:name_exact
18,ระบำอยุธยา,"การสอน, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, อยุธยา",การสอน:desc_exact; ระบำโบราณคดี:desc_exact; ศิลปหัตถกรรม:desc_exact; ศิลปินแห่งชาติ:desc_exact; อยุธยา:name_exact
19,รับขวัญข้าว,"การทำขวัญ, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, อาหาร, เวที",การทำขวัญ:desc_exact; ธัญญาหาร:desc_exact; ผู้มีพระคุณ:desc_exact; พืชพรรณ:desc_exact; อาหาร:desc_exact; เวที:desc_exact
20,ลายเกราะ,"ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคอีสาน, อีสาน, เกราะลอ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ภาคอีสาน:desc_exact; อีสาน:desc_exact; เกราะลอ:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact
21,ลีลาหมากแก๊ป,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, สอดแทรก, หญิงสาว, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, ไม้ยาว, ไม้สั้น",ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; สอดแทรก:desc_exact; หญิงสาว:desc_exact; อีสาน:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; ไม้ยาว:desc_exact; ไม้สั้น:desc_exact
22,สยามภารตะ,"กระบวนท่ารำ, นาฏศิลป์อินเดีย, ภารตนาฏยัม, อินเดีย, เคลื่อนไหว, โอดิสสี",กระบวนท่ารำ:desc_fuzzy; นาฏศิลป์อินเดีย:desc_exact; ภารตนาฏยัม:desc_exact; อินเดีย:desc_exact; เคลื่อนไหว:desc_exact; โอดิสสี:desc_exact
23,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, วันวาน, เครื่องประดับ, เสียงดนตรี",การนุ่งห่ม:desc_exact; กุลสตรี:desc_exact; ชาวพื้นเมือง:name_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; วันวาน:desc_exact; เครื่องประดับ:desc_exact; เสียงดนตรี:desc_exact
24,พลองไม้สั้น,"กระทุ้ง, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ลูกไม้, สีน้ำเงิน, อาวุธ, ไม้สั้น",กระทุ้ง:desc_exact; การต่อสู้:desc_exact; คู่ต่อสู้:desc_exact; ตัวต่อตัว:desc_exact; ต่อสู้:desc_exact; ประชิดตัว:desc_exact; ลูกไม้:desc_exact; สีน้ำเงิน:desc_exact; อาวุธ:desc_exact; ไม้สั้น:name_exact
25,มวยคาดเชือก,"การต่อสู้, ความคล่องแคล่ว, ต่อสู้, มวยโบราณ, มวยไทย, รับใช้, แม่ไม้มวย",การต่อสู้:desc_exact; ความคล่องแคล่ว:desc_exact; ต่อสู้:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; รับใช้:desc_exact; แม่ไม้มวย:desc_exact
26,ระบำชาวนา,"กสิกรรม, การไถ, ชาวนา, ชาวพื้นเมือง, ผู้แสดงฝ่ายหญิง",กสิกรรม:desc_exact; การไถ:desc_exact; ชาวนา:name_exact; ชาวพื้นเมือง:name_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy
27,โนรา,"กินรี, ขึ้นทะเบียน, ชาวพื้นเมือง, บูชาครู, ภาคใต้, มีแบบแผน, มโนราห์, ยูเนสโก",กินรี:desc_exact; ขึ้นทะเบียน:desc_exact; ชาวพื้นเมือง:desc_exact; บูชาครู:desc_exact; ภาคใต้:desc_exact; มีแบบแผน:desc_exact; มโนราห์:name_exact; ยูเนสโก:desc_exact
28,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, หยอกล้อ, เถิดเทิง",กลองยาว:desc_exact; การตีกลอง:desc_exact; งานรื่นเริง:desc_fuzzy; หยอกล้อ:desc_exact; เถิดเทิง:name_exact
29,รำสีนวล,"กุลสตรี, ขับร้อง, เพลงไทย",กุลสตรี:desc_exact; ขับร้อง:desc_exact; เพลงไทย:desc_exact
30,วิรัชสราญรมย์,"รัชกาล, สากล, เพลงสากล, เพลงไทย",รัชกาล:desc_exact; สากล:desc_exact; เพลงสากล:desc_exact; เพลงไทย:desc_exact
31,รองเง็ง,"การละเล่นพื้นเมือง, ค้าขาย, งานรื่นเริง, ชาวพื้นเมือง, ภาคใต้, มลายู, โปรตุเกส",การละเล่นพื้นเมือง:desc_exact; ค้าขาย:desc_exact; งานรื่นเริง:desc_exact; ชาวพื้นเมือง:desc_exact; ภาคใต้:desc_exact; มลายู:desc_exact; โปรตุเกส:desc_exact
32,ระบำตารีกีปัส,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ตารีกีปัส, ภาคใต้, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ, เพลงไทย",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:name_exact; ตารีกีปัส:name_exact; ภาคใต้:desc_exact; เครื่องดนตรีตะวันตก:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เพลงไทย:desc_exact
33,สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, นักษัตร, ประติมากรรม, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ",กรุงรัตนโกสินทร์:desc_exact; งานประติมากรรม:desc_exact; นักษัตร:desc_exact; ประติมากรรม:desc_exact; พระพุทธรูป:desc_exact; พระมหากษัตริย์:desc_exact; พระราชพิธี:desc_exact; พระอินทร์:desc_exact; ลายเส้น:desc_exact; อยุธยา:desc_exact; อินทราภิเษก:desc_exact; เครื่องประดับ:desc_exact
34,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวพื้นเมือง, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาคใต้, ภาษามลายู, มลายู, มุสลิม",กระบวนท่ารำ:desc_fuzzy; ของที่ระลึก:desc_exact; งานแต่งงาน:desc_exact; ชาวพื้นเมือง:desc_exact; ช่อดอกไม้:desc_exact; ดอกไม้:desc_exact; ตารี:name_exact; ตารีบุหงา:name_exact; บุหงา:name_exact; พื้นบ้านภาคใต้:desc_exact; ภาคใต้:desc_exact; ภาษามลายู:desc_exact; มลายู:desc_exact; มุสลิม:desc_exact
35,ฟ้อนจันทราพาฝัน,"ชาวพื้นเมือง, ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, ศิลปินแห่งชาติ, หญิงสาว, เพลงลาวคำหอม, เพลงไทย, แสงจันทร์",ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; ท่วงทำนอง:desc_exact; บทร้อง:desc_exact; ศิลปินแห่งชาติ:desc_exact; หญิงสาว:desc_exact; เพลงลาวคำหอม:desc_exact; เพลงไทย:desc_exact; แสงจันทร์:desc_exact
36,ระบำร่อนแร่,"การร่อนแร่, ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคใต้, หญิงสาว, แหล่งน้ำ",การร่อนแร่:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ภาคใต้:desc_exact; หญิงสาว:desc_exact; แหล่งน้ำ:desc_exact
37,รำวงมาตรฐาน,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ดอกไม้, ตามเพลง, ภาคกลาง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงไทย",การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ดอกไม้:desc_exact; ตามเพลง:desc_exact; ภาคกลาง:desc_exact; เพลงคืนเดือนหงาย:desc_exact; เพลงงามแสงเดือน:desc_exact; เพลงชาวไทย:desc_exact; เพลงดวงจันทร์ขวัญฟ้า:desc_exact; เพลงดวงจันทร์วันเพ็ญ:desc_exact; เพลงดอกไม้ของชาติ:desc_exact; เพลงบูชานักรบ:desc_exact; เพลงยอดชายใจหาญ:desc_exact; เพลงรำซิมารำ:desc_exact; เพลงไทย:desc_exact
38,ฟ้อนเจิง,"การต่อสู้, ชาวพื้นเมือง, ต่อสู้, ภาคเหนือ, มือเปล่า, ล้านนา, อาวุธ",การต่อสู้:desc_exact; ชาวพื้นเมือง:desc_exact; ต่อสู้:desc_exact; ภาคเหนือ:desc_exact; มือเปล่า:desc_exact; ล้านนา:desc_exact; อาวุธ:desc_exact
39,กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ชาวพื้นเมือง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ",กลองสะบัดชัย:name_exact; การตีกลอง:desc_exact; ขบวนแห่:desc_exact; ข้าศึก:desc_exact; ความคล่องแคล่ว:desc_exact; ชาวพื้นเมือง:desc_exact; พิธีทางศาสนา:desc_exact; ภาคเหนือ:desc_exact; ล้านนา:desc_exact; สงคราม:desc_exact; ออกรบ:desc_exact
40,ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, คำร้อง, ชายหนุ่ม, ทำนอง, พระนิพนธ์, สำเนียง, หญิงสาว, เพลงอัตราจังหวะสองชั้น, เพลงไทย",การเกี้ยวพาราสี:desc_exact; คำร้อง:desc_exact; ชายหนุ่ม:desc_exact; ทำนอง:desc_exact; พระนิพนธ์:desc_exact; สำเนียง:desc_exact; หญิงสาว:desc_exact; เพลงอัตราจังหวะสองชั้น:desc_exact; เพลงไทย:desc_exact
41,ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว, เคลื่อนไหว, เพลงไทย",กลางคืน:desc_exact; จุดไฟ:desc_exact; ภาคเหนือ:desc_exact; หญิงสาว:desc_exact; เคลื่อนไหว:desc_exact; เพลงไทย:desc_exact
42,ฟ้อนที,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ภาคเหนือ, แม่ฮ่องสอน",ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ภาคเหนือ:desc_exact; แม่ฮ่องสอน:desc_exact
43,ฟ้อนเล็บ,"บทร้อง, ภาคเหนือ, สีทอง, เพลงไทย",บทร้อง:desc_exact; ภาคเหนือ:desc_exact; สีทอง:desc_exact; เพลงไทย:desc_exact
44,ฟ้อนผาง,"จุดไฟ, ชาวพื้นเมือง, ผางประทีป, ภาคเหนือ, ภาชนะดินเผา, ล้านนา",จุดไฟ:desc_exact; ชาวพื้นเมือง:desc_exact; ผางประทีป:desc_exact; ภาคเหนือ:desc_exact; ภาชนะดินเผา:desc_exact; ล้านนา:desc_exact
45,ฟ้อนรัก,"ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายแก้ว, บทร้อง, พระนิพนธ์, พระพี่เลี้ยง, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, พี่เลี้ยง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง",ท้าวพิชัยพิษณุกร:desc_exact; นางรื่น:desc_exact; นางโรย:desc_exact; นายแก้ว:desc_exact; บทร้อง:desc_exact; พระนิพนธ์:desc_exact; พระพี่เลี้ยง:desc_exact; พระลอ:desc_exact; พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์:desc_exact; พระเพื่อน:desc_exact; พระแพง:desc_exact; พี่เลี้ยง:desc_exact; ละครพันทาง:desc_exact; ลิลิตพระลอ:desc_exact; แมนสรวง:desc_exact
46,ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, ชั้นเดียว, ดอกไม้, ทำนอง, ทำนองเพลง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ละครพันทาง, สำเนียง, เจ้าดารารัศมี, เชียงใหม่, เพลงสำเนียงลาว, โรงละครแห่งชาติ",กรมศิลปากร:desc_exact; ข้าหลวง:desc_exact; ชั้นเดียว:desc_exact; ดอกไม้:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; พญาผานอง:desc_exact; พระชายา:desc_exact; พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว:desc_exact; ละครพันทาง:desc_exact; สำเนียง:desc_exact; เจ้าดารารัศมี:desc_exact; เชียงใหม่:desc_exact; เพลงสำเนียงลาว:desc_exact; โรงละครแห่งชาติ:desc_exact
47,ฟ้อนสาวไหม,"การทอ, ดนตรีพื้นบ้าน, ดนตรีไทย, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย",การทอ:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ทอผ้า:desc_exact; ผ้าไหม:desc_exact; ภาคเหนือ:desc_exact; สะล้อ:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; เพลงไทย:desc_exact
48,เซิ้งไทภูเขา,"กสิกรรม, ขอขมา, ชาวพื้นเมือง, ชาวภูไท, ผีภู, ภูเขา, ย่านาง, หน่อไม้, อาหาร, เจ้าที่เจ้าทาง, เดินทาง, เทือกเขาภูพาน, ไทภูเขา",กสิกรรม:desc_fuzzy; ขอขมา:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; ผีภู:desc_exact; ภูเขา:name_exact; ย่านาง:desc_exact; หน่อไม้:desc_exact; อาหาร:desc_exact; เจ้าที่เจ้าทาง:desc_exact; เดินทาง:desc_exact; เทือกเขาภูพาน:desc_exact; ไทภูเขา:name_exact
49,ระบำเก็บใบชา,"กลับบ้าน, การละเล่นพื้นเมือง, การเก็บใบชา, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ผู้แสดงฝ่ายหญิง, ภาคเหนือ, ออกเดินทาง, เดินทาง, ใบชา",กลับบ้าน:desc_exact; การละเล่นพื้นเมือง:desc_exact; การเก็บใบชา:desc_exact; งานรื่นเริง:desc_fuzzy; ชาวพื้นเมือง:desc_exact; ชาวเขา:desc_exact; ผึ่งแดด:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; ภาคเหนือ:desc_exact; ออกเดินทาง:desc_exact; เดินทาง:desc_exact; ใบชา:name_exact
50,ฟ้อนภูไท,"กาฬสินธุ์, ชาวพื้นเมือง, ชาวภูไท, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, เคลื่อนไหว, เทือกเขาภูพาน, แม่น้ำ, แม่น้ำโขง",กาฬสินธุ์:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; นครพนม:desc_exact; มุกดาหาร:desc_exact; สกลนคร:desc_exact; สายสืบ:desc_exact; เคลื่อนไหว:desc_exact; เทือกเขาภูพาน:desc_exact; แม่น้ำ:desc_exact; แม่น้ำโขง:desc_exact
51,เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, ชาวพื้นเมือง, ชาวภูไท, หญิงสาว, อาหาร",กระบวนท่ารำ:desc_fuzzy; การดีด:desc_exact; การปั้น:desc_exact; ข้าวเหนียว:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; หญิงสาว:desc_exact; อาหาร:desc_exact
52,กระทบสากหรือกระทบไม้,"กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, ชาวพื้นเมือง, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก",กระทบไม้:name_exact; การละเล่นพื้นเมือง:desc_exact; กิจวัตร:desc_exact; ชาวพื้นเมือง:desc_exact; พระจันทร์:desc_exact; ภาคอีสาน:desc_exact; สากตำข้าว:desc_exact; สุรินทร์:desc_exact; อีสาน:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เต้นสาก:desc_exact
53,เซิ้งตังหวาย,"การขับร้อง, ขับร้อง, ขับลำ, ดนตรีพื้นบ้าน, ดนตรีไทย, ลำตังหวาย, ลำนำ, แม่น้ำ, แม่น้ำโขง",การขับร้อง:desc_exact; ขับร้อง:desc_exact; ขับลำ:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ลำตังหวาย:desc_exact; ลำนำ:desc_exact; แม่น้ำ:desc_exact; แม่น้ำโขง:desc_exact
54,ฟ้อนภูไท 3 เผ่า,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวพื้นเมือง, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดงฝ่ายหญิง, มวยโบราณ, มวยไทย, สกลนคร, เชิงมวย, เทือกเขาภูพาน",การเกี้ยวพาราสี:desc_exact; กาฬสินธุ์:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; ต่อสู้:desc_exact; นครพนม:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; มวยโบราณ:desc_exact; มวยไทย:desc_exact; สกลนคร:desc_exact; เชิงมวย:desc_exact; เทือกเขาภูพาน:desc_exact
55,เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, ดนตรีพื้นบ้าน, ดนตรีไทย, ทางธรรมชาติ, ผู้แสดงฝ่ายหญิง, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, หยอกล้อ",กระบวนท่ารำ:desc_fuzzy; การจับปลา:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ทางธรรมชาติ:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; ภาคตะวันออกเฉียงเหนือ:desc_exact; สัตว์น้ำ:desc_exact; หยอกล้อ:desc_exact
56,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, ขับร้อง, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ฟันปลา, ภาคอีสาน, ลำเพลิน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, ไม้ยาว, ไม้สั้น",การขับร้อง:desc_exact; ขับร้อง:desc_exact; ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ฟันปลา:desc_exact; ภาคอีสาน:desc_exact; ลำเพลิน:name_exact; หมากกั๊บแก๊บ:name_exact; หยอกล้อ:desc_exact; อีสาน:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; ไม้ยาว:desc_exact; ไม้สั้น:desc_exact
57,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, บรรพต, พลลิง, พลวานร, รามเกียรติ์, วานร, วิดน้ำ, สำเภา, อาสา, เมืองชมพู, ไพร่พล",กราบทูล:desc_exact; กรุงลงกา:desc_exact; ขีดขิน:desc_exact; จองถนน:name_exact; ชามพูวราช:desc_exact; บรรพต:desc_exact; พลลิง:desc_exact; พลวานร:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; วิดน้ำ:desc_exact; สำเภา:desc_exact; อาสา:desc_exact; เมืองชมพู:desc_exact; ไพร่พล:desc_exact
58,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล",กรุงลงกา:desc_exact; กองทัพ:desc_exact; การขึ้นลอย:desc_exact; การรบ:desc_exact; ชั้นเชิง:desc_exact; ทศกัณฐ์:desc_exact; พระราม:desc_exact; พระลักษมณ์:desc_exact; พลวานร:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; สงคราม:desc_exact; อาวุธ:desc_exact; ไพร่พล:desc_exact
59,เซิ้งโปงลาง,"ชายหนุ่ม, ดนตรีพื้นบ้าน, ดนตรีไทย, ผู้แสดงฝ่ายหญิง, หญิงสาว, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, โปงลาง",ชายหนุ่ม:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; หญิงสาว:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; โปงลาง:name_exact
60,กราววีรชัยลิง,"กราววีรชัยลิง, กองทัพ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ",กราววีรชัยลิง:name_exact; กองทัพ:desc_exact; การต่อสู้:desc_exact; ความคล่องแคล่ว:desc_exact; ต่อสู้:desc_exact; พระราม:desc_exact; รามเกียรติ์:desc_exact; วานร:desc_exact; สิบแปดมงกุฎ:desc_exact
