ลำดับ,ชื่อชุดการแสดง,words,match_sources
11,ฟ้อนขันดอก,"กระบวนท่ารำ, การโปรย, ขันดอก, ชาวเหนือ, ช่อดอกไม้, ดอกไม้, ดอกไม้เงิน, นานาชาติ, ภาคเหนือ, ล้านนา",กระบวนท่ารำ:desc_fuzzy; การโปรย:desc_exact; ขันดอก:name_exact; ชาวเหนือ:desc_fuzzy; ช่อดอกไม้:desc_fuzzy; ดอกไม้:desc_exact; ดอกไม้เงิน:desc_fuzzy; นานาชาติ:desc_fuzzy; ภาคเหนือ:desc_exact; ล้านนา:desc_exact
12,ผืนไท,"กรมศิลปากร, ธงไทย, นักษัตร, พระชายา, พระมหากษัตริย์, พระอุมา, พาลี, ภาคใต้, สากล, ออกรบ, อาณาประชาราษฎร์, อาสา, เคลื่อนไหว, เวที, ไตรรงค์",กรมศิลปากร:desc_fuzzy; ธงไทย:desc_exact; นักษัตร:desc_fuzzy; พระชายา:desc_fuzzy; พระมหากษัตริย์:desc_exact; พระอุมา:desc_fuzzy; พาลี:desc_fuzzy; ภาคใต้:desc_fuzzy; สากล:desc_fuzzy; ออกรบ:desc_fuzzy; อาณาประชาราษฎร์:desc_exact; อาสา:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact; ไตรรงค์:desc_exact
13,พนาธาร,"ของป่า, ทางธรรมชาติ, วาจา, เคลื่อนไหว",ของป่า:desc_exact; ทางธรรมชาติ:desc_fuzzy; วาจา:desc_fuzzy; เคลื่อนไหว:desc_exact
14,นาฏ ณ วัง,"กะลา, การทอ, การสอน, ทัพหน้า, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, ละครนอก, วังหน้า, สากล, หนังใหญ่, ออกรบ, เคลื่อนไหว, เวที",กะลา:desc_fuzzy; การทอ:desc_fuzzy; การสอน:desc_fuzzy; ทัพหน้า:desc_fuzzy; พระยา:desc_fuzzy; พระราชวังบวรสถานมงคล:desc_exact; พระราม:desc_fuzzy; มรกต:desc_fuzzy; ละครนอก:desc_fuzzy; วังหน้า:name_fuzzy; สากล:desc_fuzzy; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact
15,ฟ้อนลีลาวดี,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ต้นลีลาวดี, ทัพหน้า, พระลอ, พระอุมา, พระอุโบสถ, วังหน้า, วาจา, สุทธาวาส, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เสียงดนตรี",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_fuzzy; ตารี:desc_fuzzy; ต้นลีลาวดี:name_fuzzy; ทัพหน้า:desc_fuzzy; พระลอ:desc_fuzzy; พระอุมา:desc_fuzzy; พระอุโบสถ:desc_exact; วังหน้า:desc_exact; วาจา:desc_fuzzy; สุทธาวาส:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_fuzzy; เครื่องดนตรีพื้นเมือง:desc_fuzzy; เสียงดนตรี:desc_fuzzy
16,ระบำอยุธยา,"การทอ, การสอน, จับระบำ, พระองค์, มโนราห์, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, อยุธยา",การทอ:desc_fuzzy; การสอน:desc_exact; จับระบำ:name_fuzzy; พระองค์:desc_fuzzy; มโนราห์:desc_fuzzy; ระบำโบราณคดี:desc_exact; ศิลปหัตถกรรม:desc_exact; ศิลปินแห่งชาติ:desc_exact; อยุธยา:name_exact
17,สยามภารตะ,"กระบวนท่ารำ, การไถ, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, วานร, อินเดีย, เคลื่อนไหว, แผ่อิทธิพล, โอดิสสี",กระบวนท่ารำ:desc_fuzzy; การไถ:desc_fuzzy; ทะเล:desc_fuzzy; ธงไทย:desc_fuzzy; นาฏศิลป์อินเดีย:desc_exact; ภารตนาฏยัม:desc_exact; รจนา:desc_fuzzy; วานร:desc_fuzzy; อินเดีย:desc_exact; เคลื่อนไหว:desc_exact; แผ่อิทธิพล:desc_fuzzy; โอดิสสี:desc_exact
18,ระบำม้า,"กะลา, การทอ, การสอน, จับระบำ, ธิเบศร์, บุรี, พระนารายณ์, ยมะ, ระบำมาตรฐาน, ออกเดินทาง, อาสา, เชษฐา, เดินทาง, เวที, แปลงกาย",กะลา:desc_fuzzy; การทอ:desc_fuzzy; การสอน:desc_exact; จับระบำ:name_fuzzy; ธิเบศร์:desc_exact; บุรี:desc_exact; พระนารายณ์:desc_fuzzy; ยมะ:desc_exact; ระบำมาตรฐาน:name_fuzzy; ออกเดินทาง:desc_exact; อาสา:desc_fuzzy; เชษฐา:desc_fuzzy; เดินทาง:desc_exact; เวที:desc_fuzzy; แปลงกาย:desc_fuzzy
19,รับขวัญข้าว,"กสิกรรม, การทำขวัญ, ข้าหลวง, ชาวพื้นเมือง, ธัญญาหาร, ผู้มีพระคุณ, พี่เลี้ยง, พืชพรรณ, สมทบ, สะล้อ, อาสา, อาหาร, อีสาน, เวที, ใบชา",กสิกรรม:desc_fuzzy; การทำขวัญ:desc_exact; ข้าหลวง:name_fuzzy; ชาวพื้นเมือง:name_fuzzy; ธัญญาหาร:desc_exact; ผู้มีพระคุณ:desc_exact; พี่เลี้ยง:desc_fuzzy; พืชพรรณ:desc_exact; สมทบ:desc_fuzzy; สะล้อ:desc_fuzzy; อาสา:desc_fuzzy; อาหาร:desc_exact; อีสาน:desc_fuzzy; เวที:desc_exact; ใบชา:desc_fuzzy
20,ล่องใต้,"การรบ, การโปรย, ภาคใต้, ล่องใต้, วาจา, สะล้อ, องคต",การรบ:desc_fuzzy; การโปรย:desc_fuzzy; ภาคใต้:desc_exact; ล่องใต้:name_exact; วาจา:desc_fuzzy; สะล้อ:desc_fuzzy; องคต:name_fuzzy
21,ลายเกราะ,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ปางลีลา, พระลอ, ภาคอีสาน, มลายู, วาจา, อาสา, อีสาน, เกราะลอ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องแบบ",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ปางลีลา:desc_fuzzy; พระลอ:desc_fuzzy; ภาคอีสาน:desc_exact; มลายู:name_fuzzy; วาจา:desc_fuzzy; อาสา:desc_fuzzy; อีสาน:desc_exact; เกราะลอ:name_fuzzy; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_fuzzy; เครื่องแบบ:desc_fuzzy
22,วิรัชสราญรมย์,"กุลสตรี, ตารี, ทำนองเพลง, ธงไทย, รัชกาล, รัชฎา, วาจา, สากล, เพลงกลม, เพลงชาวไทย, เพลงสากล, เพลงไทย, แปลงกาย, แผ่อิทธิพล",กุลสตรี:desc_fuzzy; ตารี:desc_fuzzy; ทำนองเพลง:desc_fuzzy; ธงไทย:desc_fuzzy; รัชกาล:desc_exact; รัชฎา:desc_fuzzy; วาจา:desc_fuzzy; สากล:desc_exact; เพลงกลม:desc_fuzzy; เพลงชาวไทย:desc_fuzzy; เพลงสากล:desc_exact; เพลงไทย:desc_exact; แปลงกาย:desc_fuzzy; แผ่อิทธิพล:desc_fuzzy
23,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ขบวนแห่, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, มโนราห์, วันวาน, วาจา, วานร, สุรินทร์, เครื่องประดับ, เครื่องแบบ, เสียงดนตรี",การนุ่งห่ม:desc_exact; กุลสตรี:desc_exact; ขบวนแห่:desc_fuzzy; ชาวพื้นเมือง:name_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_fuzzy; ตารี:desc_fuzzy; มโนราห์:desc_fuzzy; วันวาน:desc_exact; วาจา:desc_fuzzy; วานร:desc_fuzzy; สุรินทร์:desc_fuzzy; เครื่องประดับ:desc_exact; เครื่องแบบ:desc_fuzzy; เสียงดนตรี:desc_exact
24,ลีลาหมากแก๊ป,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ทหารเอก, ปางลีลา, สอดแทรก, หญิงสาว, อาสา, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ, เครื่องแบบ, ไม้ยาว, ไม้สั้น",ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ทหารเอก:desc_fuzzy; ปางลีลา:name_fuzzy; สอดแทรก:desc_exact; หญิงสาว:desc_exact; อาสา:desc_fuzzy; อีสาน:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_fuzzy; เครื่องประกอบจังหวะ:desc_fuzzy; เครื่องแบบ:desc_fuzzy; ไม้ยาว:desc_exact; ไม้สั้น:desc_exact
25,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, ตารี, นางรื่น, ผู้แสดงฝ่ายชาย, ผู้แสดงฝ่ายหญิง, วานร, สากล, หยอกล้อ, เถิดเทิง",กลองยาว:desc_exact; การตีกลอง:desc_exact; งานรื่นเริง:desc_fuzzy; ตารี:desc_fuzzy; นางรื่น:desc_fuzzy; ผู้แสดงฝ่ายชาย:desc_fuzzy; ผู้แสดงฝ่ายหญิง:desc_fuzzy; วานร:desc_fuzzy; สากล:desc_fuzzy; หยอกล้อ:desc_exact; เถิดเทิง:name_exact
26,มวยคาดเชือก,"กระบวนท่ารำ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, มวยโบราณ, มวยไทย, มัยราพณ์, มโนราห์, รับอาสา, รับใช้, องคต, อสูร, แม่ไม้มวย",กระบวนท่ารำ:desc_fuzzy; การต่อสู้:desc_exact; ความคล่องแคล่ว:desc_fuzzy; ต่อสู้:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; มัยราพณ์:desc_fuzzy; มโนราห์:desc_fuzzy; รับอาสา:desc_fuzzy; รับใช้:desc_exact; องคต:desc_fuzzy; อสูร:desc_fuzzy; แม่ไม้มวย:desc_exact
27,ระบำชาวนา,"กสิกรรม, การรบ, การโปรย, การไถ, จับระบำ, ชาวนา, ชาวพื้นเมือง, ชาวเขา, ผู้แสดงฝ่ายชาย, ผู้แสดงฝ่ายหญิง, รำเดี่ยว, วานร, สะล้อ",กสิกรรม:desc_exact; การรบ:desc_fuzzy; การโปรย:desc_fuzzy; การไถ:desc_exact; จับระบำ:name_fuzzy; ชาวนา:name_exact; ชาวพื้นเมือง:name_exact; ชาวเขา:name_fuzzy; ผู้แสดงฝ่ายชาย:desc_fuzzy; ผู้แสดงฝ่ายหญิง:desc_fuzzy; รำเดี่ยว:desc_fuzzy; วานร:desc_fuzzy; สะล้อ:desc_fuzzy
28,รำวงมาตรฐาน,"ชาวพื้นเมือง, ดอกไม้, ตามเพลง, ภาคกลาง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม, เพลงไทย",ชาวพื้นเมือง:desc_exact; ดอกไม้:desc_exact; ตามเพลง:desc_exact; ภาคกลาง:desc_exact; เพลงคืนเดือนหงาย:desc_exact; เพลงงามแสงเดือน:desc_exact; เพลงชาวไทย:desc_exact; เพลงดวงจันทร์ขวัญฟ้า:desc_exact; เพลงดวงจันทร์วันเพ็ญ:desc_exact; เพลงดอกไม้ของชาติ:desc_exact; เพลงบูชานักรบ:desc_exact; เพลงยอดชายใจหาญ:desc_exact; เพลงรำซิมารำ:desc_exact; เพลงหญิงไทยใจงาม:desc_exact; เพลงไทย:desc_exact
29,พลองไม้สั้น,"กระทุ้ง, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ตีลังกา, ต่อสู้, ประชิดตัว, พระลอ, ลูกไม้, สีน้ำเงิน, อสูร, อาวุธ, เพลงไทย, แต่งตัว, ไม้สั้น",กระทุ้ง:desc_exact; การต่อสู้:desc_exact; คู่ต่อสู้:desc_exact; ตัวต่อตัว:desc_exact; ตีลังกา:desc_fuzzy; ต่อสู้:desc_exact; ประชิดตัว:desc_exact; พระลอ:name_fuzzy; ลูกไม้:desc_exact; สีน้ำเงิน:desc_exact; อสูร:desc_fuzzy; อาวุธ:desc_exact; เพลงไทย:name_fuzzy; แต่งตัว:desc_fuzzy; ไม้สั้น:name_exact
30,ระบำตารีกีปัส,"จับระบำ, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ตารีกีปัส, ธงไทย, ภาคใต้, เกราะลอ, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ, เครื่องประดับ, เพลงไทย",จับระบำ:name_fuzzy; ชาวพื้นเมือง:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:name_exact; ตารีกีปัส:name_exact; ธงไทย:desc_fuzzy; ภาคใต้:desc_exact; เกราะลอ:desc_fuzzy; เครื่องดนตรีตะวันตก:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_fuzzy; เครื่องดนตรีพื้นเมือง:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เครื่องประดับ:desc_fuzzy; เพลงไทย:desc_exact
31,ระบำตารีบุหงา,"ของที่ระลึก, งานแต่งงาน, จับระบำ, ชาวพื้นเมือง, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาคใต้, ภาษามลายู, มลายู, มุสลิม, เครื่องแบบ",ของที่ระลึก:desc_exact; งานแต่งงาน:desc_exact; จับระบำ:name_fuzzy; ชาวพื้นเมือง:desc_exact; ช่อดอกไม้:desc_exact; ดอกไม้:desc_exact; ตารี:name_exact; ตารีบุหงา:name_exact; บุหงา:name_exact; พื้นบ้านภาคใต้:desc_exact; ภาคใต้:desc_exact; ภาษามลายู:desc_exact; มลายู:desc_exact; มุสลิม:desc_exact; เครื่องแบบ:desc_fuzzy
32,สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, ประติมากรรม, พระจันทร์, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, ลายเส้น, วานร, อยุธยา, อินทราภิเษก, เครื่องประดับ, เทวดา, ไทยอมรินทร์",กรุงรัตนโกสินทร์:desc_exact; งานประติมากรรม:desc_exact; ประติมากรรม:desc_exact; พระจันทร์:desc_fuzzy; พระพุทธรูป:desc_exact; พระมหากษัตริย์:desc_exact; พระราชพิธี:desc_exact; พระอินทร์:desc_exact; ลายเส้น:desc_exact; วานร:desc_fuzzy; อยุธยา:desc_exact; อินทราภิเษก:desc_exact; เครื่องประดับ:desc_exact; เทวดา:name_fuzzy; ไทยอมรินทร์:desc_fuzzy
33,ระบำร่อนแร่,"การรบ, การร่อนแร่, การโปรย, งานรื่นเริง, จับระบำ, ดนตรีพื้นบ้าน, ทางธรรมชาติ, ธงไทย, นางรื่น, ฝั่งน้ำ, ภาคใต้, หญิงสาว, เครื่องประกอบจังหวะ, เล่นน้ำ, แหล่งน้ำ",การรบ:desc_fuzzy; การร่อนแร่:name_fuzzy; การโปรย:desc_fuzzy; งานรื่นเริง:desc_fuzzy; จับระบำ:name_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ทางธรรมชาติ:desc_fuzzy; ธงไทย:desc_fuzzy; นางรื่น:desc_fuzzy; ฝั่งน้ำ:desc_fuzzy; ภาคใต้:desc_exact; หญิงสาว:desc_exact; เครื่องประกอบจังหวะ:desc_fuzzy; เล่นน้ำ:desc_fuzzy; แหล่งน้ำ:desc_exact
34,กลองสะบัดชัย,"กลองยาว, กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ชาวพื้นเมือง, ธงไทย, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, องคต, อสูร, ออกรบ",กลองยาว:name_fuzzy; กลองสะบัดชัย:name_exact; การตีกลอง:desc_exact; ขบวนแห่:desc_exact; ข้าศึก:desc_exact; ความคล่องแคล่ว:desc_fuzzy; ชาวพื้นเมือง:desc_exact; ธงไทย:desc_fuzzy; พิธีทางศาสนา:desc_exact; ภาคเหนือ:desc_exact; ล้านนา:desc_exact; สงคราม:desc_exact; องคต:desc_fuzzy; อสูร:desc_fuzzy; ออกรบ:desc_exact
35,โนรา,"กินรี, ขึ้นทะเบียน, ชาวพื้นเมือง, บูชาครู, พระนารายณ์, ภาคใต้, มวยโบราณ, มีแบบแผน, มโนราห์, มโนห์รา, ยูเนสโก, ระบำโบราณคดี, อินทราภิเษก, โบราณวัตถุ, โบราณสถาน",กินรี:desc_exact; ขึ้นทะเบียน:desc_exact; ชาวพื้นเมือง:desc_exact; บูชาครู:desc_exact; พระนารายณ์:name_fuzzy; ภาคใต้:desc_exact; มวยโบราณ:name_fuzzy; มีแบบแผน:desc_exact; มโนราห์:name_exact; มโนห์รา:name_fuzzy; ยูเนสโก:desc_exact; ระบำโบราณคดี:name_fuzzy; อินทราภิเษก:name_fuzzy; โบราณวัตถุ:name_fuzzy; โบราณสถาน:name_fuzzy
36,รองเง็ง,"การละเล่นพื้นเมือง, ค้าขาย, งานรื่นเริง, ชาวพื้นเมือง, ชาวภูไท, ธงไทย, นางรื่น, ผู้แสดงฝ่ายชาย, ภาคใต้, มลายู, วานร, เพลงชาวไทย, แผ่อิทธิพล, โปรตุเกส, ใบชา",การละเล่นพื้นเมือง:desc_exact; ค้าขาย:desc_exact; งานรื่นเริง:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_fuzzy; ธงไทย:desc_fuzzy; นางรื่น:desc_fuzzy; ผู้แสดงฝ่ายชาย:desc_fuzzy; ภาคใต้:desc_exact; มลายู:desc_exact; วานร:desc_fuzzy; เพลงชาวไทย:desc_fuzzy; แผ่อิทธิพล:desc_fuzzy; โปรตุเกส:desc_exact; ใบชา:desc_fuzzy
37,ฟ้อนจันทราพาฝัน,"ขับร้อง, ชาวพื้นเมือง, ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, มโนราห์, ศิลปินแห่งชาติ, หญิงสาว, ออกรบ, เพลงชาวไทย, เพลงลาวคำหอม, เพลงไทย, แสงจันทร์",ขับร้อง:desc_fuzzy; ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; ท่วงทำนอง:desc_exact; บทร้อง:desc_exact; มโนราห์:name_fuzzy; ศิลปินแห่งชาติ:desc_exact; หญิงสาว:desc_exact; ออกรบ:desc_fuzzy; เพลงชาวไทย:desc_fuzzy; เพลงลาวคำหอม:desc_exact; เพลงไทย:desc_exact; แสงจันทร์:desc_exact
38,ฟ้อนที,"ชาวพื้นเมือง, ชาวเหนือ, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ธงไทย, พื้นบ้านภาคใต้, ภาคเหนือ, เครื่องดนตรีพื้นบ้าน, แม่ฮ่องสอน",ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ธงไทย:desc_fuzzy; พื้นบ้านภาคใต้:desc_fuzzy; ภาคเหนือ:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_fuzzy; แม่ฮ่องสอน:desc_exact
39,ฟ้อนเจิง,"การต่อสู้, ชั้นเชิง, ชาวพื้นเมือง, ชาวเหนือ, ต่อสู้, ธงไทย, ภาคเหนือ, มือเปล่า, ล้านนา, อสูร, อาวุธ",การต่อสู้:desc_exact; ชั้นเชิง:name_fuzzy; ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_fuzzy; ต่อสู้:desc_exact; ธงไทย:desc_fuzzy; ภาคเหนือ:desc_exact; มือเปล่า:desc_exact; ล้านนา:desc_exact; อสูร:desc_fuzzy; อาวุธ:desc_exact
