ลำดับ,ชื่อชุดการแสดง,words,match_sources
11,ผืนไท,"กะลา, การทอ, ธงไทย, นักษัตร, พระมหากษัตริย์, พาลี, ภาคใต้, มรกต, สากล, ออกรบ, อาณาประชาราษฎร์, อาสา, เคลื่อนไหว, เวที, ไตรรงค์",กะลา:desc_fuzzy; การทอ:desc_fuzzy; ธงไทย:desc_exact; นักษัตร:desc_exact; พระมหากษัตริย์:desc_exact; พาลี:desc_fuzzy; ภาคใต้:desc_fuzzy; มรกต:desc_fuzzy; สากล:desc_fuzzy; ออกรบ:desc_fuzzy; อาณาประชาราษฎร์:desc_exact; อาสา:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact; ไตรรงค์:desc_exact
12,พนาธาร,"ของป่า, ทางธรรมชาติ, วาจา, เคลื่อนไหว",ของป่า:desc_exact; ทางธรรมชาติ:desc_fuzzy; วาจา:desc_fuzzy; เคลื่อนไหว:desc_exact
13,ฟ้อนลีลาวดี,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ต้นลีลาวดี, พระลอ, พระอุโบสถ, วังหน้า, วาจา, สุทธาวาส",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_fuzzy; ตารี:desc_fuzzy; ต้นลีลาวดี:name_fuzzy; พระลอ:desc_fuzzy; พระอุโบสถ:desc_exact; วังหน้า:desc_exact; วาจา:desc_fuzzy; สุทธาวาส:desc_exact
14,นาฏยมวยไทย,"ต้นขา, ธงไทย, บรรพต, บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, มโนราห์, ศิลปะป้องกันตัว, แปลงตัว",ต้นขา:desc_fuzzy; ธงไทย:name_fuzzy; บรรพต:desc_fuzzy; บรรพบุรุษ:desc_exact; ป้องกันตัว:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; มโนราห์:desc_fuzzy; ศิลปะป้องกันตัว:desc_exact; แปลงตัว:desc_fuzzy
15,ระบำอยุธยา,"การทอ, การสอน, มโนราห์, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, อยุธยา",การทอ:desc_fuzzy; การสอน:desc_exact; มโนราห์:desc_fuzzy; ระบำโบราณคดี:desc_exact; ศิลปหัตถกรรม:desc_exact; ศิลปินแห่งชาติ:desc_exact; อยุธยา:name_exact
16,ล่องใต้,"การรบ, ภาคใต้, ล่องใต้, วาจา, สะล้อ, องคต",การรบ:desc_fuzzy; ภาคใต้:desc_exact; ล่องใต้:name_exact; วาจา:desc_fuzzy; สะล้อ:desc_fuzzy; องคต:name_fuzzy
17,ฟ้อนขันดอก,"กระบวนท่ารำ, การโปรย, ขันดอก, ชาวเหนือ, ช่อดอกไม้, ดอกไม้, นานาชาติ, ภาคเหนือ, ล้านนา",กระบวนท่ารำ:desc_fuzzy; การโปรย:desc_exact; ขันดอก:name_exact; ชาวเหนือ:desc_fuzzy; ช่อดอกไม้:desc_fuzzy; ดอกไม้:desc_exact; นานาชาติ:desc_fuzzy; ภาคเหนือ:desc_exact; ล้านนา:desc_exact
18,ลีลาหมากแก๊ป,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ภาคอีสาน, สอดแทรก, หญิงสาว, หมากกั๊บแก๊บ, องคต, อาสา, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, ไม้ยาว, ไม้สั้น",ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ภาคอีสาน:desc_fuzzy; สอดแทรก:desc_exact; หญิงสาว:desc_exact; หมากกั๊บแก๊บ:desc_fuzzy; องคต:desc_fuzzy; อาสา:desc_fuzzy; อีสาน:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_fuzzy; ไม้ยาว:desc_exact; ไม้สั้น:desc_exact
19,ลายเกราะ,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, พระลอ, ภาคอีสาน, มลายู, วาจา, อาสา, อีสาน, เกราะลอ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; พระลอ:desc_fuzzy; ภาคอีสาน:desc_exact; มลายู:name_fuzzy; วาจา:desc_fuzzy; อาสา:desc_fuzzy; อีสาน:desc_exact; เกราะลอ:name_fuzzy; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_fuzzy
20,ระบำม้า,"กะลา, การทอ, การสอน, ธิเบศร์, บุรี, มโนราห์, ยมะ, ระบำมาตรฐาน, ออกเดินทาง, อาสา, เชษฐา, เดินทาง, เวที",กะลา:desc_fuzzy; การทอ:desc_fuzzy; การสอน:desc_exact; ธิเบศร์:desc_exact; บุรี:desc_exact; มโนราห์:desc_fuzzy; ยมะ:desc_exact; ระบำมาตรฐาน:name_fuzzy; ออกเดินทาง:desc_exact; อาสา:desc_fuzzy; เชษฐา:desc_fuzzy; เดินทาง:desc_exact; เวที:desc_fuzzy
21,รับขวัญข้าว,"การทอ, การทำขวัญ, ชาวพื้นเมือง, ตารี, ธัญญาหาร, ผู้มีพระคุณ, พี่เลี้ยง, พืชพรรณ, สมทบ, สะล้อ, อาสา, อาหาร, อีสาน, เวที, ใบชา",การทอ:desc_fuzzy; การทำขวัญ:desc_exact; ชาวพื้นเมือง:name_fuzzy; ตารี:desc_fuzzy; ธัญญาหาร:desc_exact; ผู้มีพระคุณ:desc_exact; พี่เลี้ยง:desc_fuzzy; พืชพรรณ:desc_exact; สมทบ:desc_fuzzy; สะล้อ:desc_fuzzy; อาสา:desc_fuzzy; อาหาร:desc_exact; อีสาน:desc_fuzzy; เวที:desc_exact; ใบชา:desc_fuzzy
22,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, มโนราห์, วันวาน, วาจา, วานร, สุรินทร์, เครื่องประดับ, เสียงดนตรี",การนุ่งห่ม:desc_exact; กุลสตรี:desc_exact; ชาวพื้นเมือง:name_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_fuzzy; ตารี:desc_fuzzy; มโนราห์:desc_fuzzy; วันวาน:desc_exact; วาจา:desc_fuzzy; วานร:desc_fuzzy; สุรินทร์:desc_fuzzy; เครื่องประดับ:desc_exact; เสียงดนตรี:desc_exact
23,รำวงมาตรฐาน,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ดอกไม้, ตามเพลง, ภาคกลาง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงไทย",การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ดอกไม้:desc_exact; ตามเพลง:desc_exact; ภาคกลาง:desc_exact; เพลงคืนเดือนหงาย:desc_exact; เพลงงามแสงเดือน:desc_exact; เพลงชาวไทย:desc_exact; เพลงดวงจันทร์ขวัญฟ้า:desc_exact; เพลงดวงจันทร์วันเพ็ญ:desc_exact; เพลงดอกไม้ของชาติ:desc_exact; เพลงบูชานักรบ:desc_exact; เพลงยอดชายใจหาญ:desc_exact; เพลงรำซิมารำ:desc_exact; เพลงไทย:desc_exact
24,วิรัชสราญรมย์,"ตารี, ทำนองเพลง, ธงไทย, รัชกาล, รัชฎา, วาจา, สากล, เพลงสากล, เพลงไทย",ตารี:desc_fuzzy; ทำนองเพลง:desc_fuzzy; ธงไทย:desc_fuzzy; รัชกาล:desc_exact; รัชฎา:desc_fuzzy; วาจา:desc_fuzzy; สากล:desc_exact; เพลงสากล:desc_exact; เพลงไทย:desc_exact
25,ระบำชาวนา,"กสิกรรม, การรบ, การไถ, ชาวนา, ชาวพื้นเมือง, ผู้แสดงฝ่ายหญิง, รำเดี่ยว, วานร, สะล้อ",กสิกรรม:desc_exact; การรบ:desc_fuzzy; การไถ:desc_exact; ชาวนา:name_exact; ชาวพื้นเมือง:name_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; รำเดี่ยว:desc_fuzzy; วานร:desc_fuzzy; สะล้อ:desc_fuzzy
26,มวยคาดเชือก,"กระบวนท่ารำ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, มวยโบราณ, มวยไทย, มัยราพณ์, มโนราห์, รับใช้, องคต, อสูร, แม่ไม้มวย",กระบวนท่ารำ:desc_fuzzy; การต่อสู้:desc_exact; ความคล่องแคล่ว:desc_fuzzy; ต่อสู้:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; มัยราพณ์:desc_fuzzy; มโนราห์:desc_fuzzy; รับใช้:desc_exact; องคต:desc_fuzzy; อสูร:desc_fuzzy; แม่ไม้มวย:desc_exact
27,สยามภารตะ,"กระบวนท่ารำ, การไถ, ทะเล, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, รจนา, วานร, อินเดีย, เคลื่อนไหว, โอดิสสี",กระบวนท่ารำ:desc_fuzzy; การไถ:desc_fuzzy; ทะเล:desc_fuzzy; ธงไทย:desc_fuzzy; นาฏศิลป์อินเดีย:desc_exact; ภารตนาฏยัม:desc_exact; รจนา:desc_fuzzy; วานร:desc_fuzzy; อินเดีย:desc_exact; เคลื่อนไหว:desc_exact; โอดิสสี:desc_exact
28,รำสีนวล,"กุลสตรี, ขับร้อง, ตารี, บทร้อง, เพลงไทย",กุลสตรี:desc_exact; ขับร้อง:desc_exact; ตารี:desc_fuzzy; บทร้อง:desc_fuzzy; เพลงไทย:desc_exact
29,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, ตารี, ผู้แสดงฝ่ายชาย, ผู้แสดงฝ่ายหญิง, วานร, สากล, หยอกล้อ, เถิดเทิง",กลองยาว:desc_exact; การตีกลอง:desc_exact; งานรื่นเริง:desc_fuzzy; ตารี:desc_fuzzy; ผู้แสดงฝ่ายชาย:desc_fuzzy; ผู้แสดงฝ่ายหญิง:desc_fuzzy; วานร:desc_fuzzy; สากล:desc_fuzzy; หยอกล้อ:desc_exact; เถิดเทิง:name_exact
30,สักการะเทวราช,"กรุงรัตนโกสินทร์, งานประติมากรรม, นักษัตร, ประติมากรรม, พระจันทร์, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, ลายเส้น, วานร, อยุธยา, อินทราภิเษก, เครื่องประดับ, เทวดา",กรุงรัตนโกสินทร์:desc_exact; งานประติมากรรม:desc_exact; นักษัตร:desc_exact; ประติมากรรม:desc_exact; พระจันทร์:desc_fuzzy; พระพุทธรูป:desc_exact; พระมหากษัตริย์:desc_exact; พระราชพิธี:desc_exact; พระอินทร์:desc_exact; ลายเส้น:desc_exact; วานร:desc_fuzzy; อยุธยา:desc_exact; อินทราภิเษก:desc_exact; เครื่องประดับ:desc_exact; เทวดา:name_fuzzy
31,โนรา,"กินรี, ขึ้นทะเบียน, ชาวพื้นเมือง, บูชาครู, พระนารายณ์, ภาคใต้, มวยโบราณ, มีแบบแผน, มโนราห์, ยูเนสโก, ระบำโบราณคดี, สระอโนดาต, อินทราภิเษก, โบราณวัตถุ, โบราณสถาน",กินรี:desc_exact; ขึ้นทะเบียน:desc_exact; ชาวพื้นเมือง:desc_exact; บูชาครู:desc_exact; พระนารายณ์:name_fuzzy; ภาคใต้:desc_exact; มวยโบราณ:name_fuzzy; มีแบบแผน:desc_exact; มโนราห์:name_exact; ยูเนสโก:desc_exact; ระบำโบราณคดี:name_fuzzy; สระอโนดาต:name_fuzzy; อินทราภิเษก:name_fuzzy; โบราณวัตถุ:name_fuzzy; โบราณสถาน:name_fuzzy
32,พลองไม้สั้น,"กระทุ้ง, กระบวนท่ารำ, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ต่อสู้, ธงไทย, ประชิดตัว, พระลอ, ลูกไม้, สีน้ำเงิน, อสูร, อาวุธ, เพลงไทย, ไม้สั้น",กระทุ้ง:desc_exact; กระบวนท่ารำ:desc_fuzzy; การต่อสู้:desc_exact; คู่ต่อสู้:desc_exact; ตัวต่อตัว:desc_exact; ต่อสู้:desc_exact; ธงไทย:desc_fuzzy; ประชิดตัว:desc_exact; พระลอ:name_fuzzy; ลูกไม้:desc_exact; สีน้ำเงิน:desc_exact; อสูร:desc_fuzzy; อาวุธ:desc_exact; เพลงไทย:name_fuzzy; ไม้สั้น:name_exact
33,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวพื้นเมือง, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาคใต้, ภาษามลายู, มลายู, มุสลิม, องคต",กระบวนท่ารำ:desc_fuzzy; ของที่ระลึก:desc_exact; งานแต่งงาน:desc_exact; ชาวพื้นเมือง:desc_exact; ช่อดอกไม้:desc_exact; ดอกไม้:desc_exact; ตารี:name_exact; ตารีบุหงา:name_exact; บุหงา:name_exact; พื้นบ้านภาคใต้:desc_exact; ภาคใต้:desc_exact; ภาษามลายู:desc_exact; มลายู:desc_exact; มุสลิม:desc_exact; องคต:desc_fuzzy
34,ฟ้อนผาง,"จุดไฟ, ชาวพื้นเมือง, ชาวเหนือ, ธงไทย, ผางประทีป, ภาคเหนือ, ภาชนะดินเผา, มวยโบราณ, มโนราห์, ล้านนา",จุดไฟ:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_fuzzy; ธงไทย:desc_fuzzy; ผางประทีป:desc_exact; ภาคเหนือ:desc_exact; ภาชนะดินเผา:desc_exact; มวยโบราณ:desc_fuzzy; มโนราห์:desc_fuzzy; ล้านนา:desc_exact
35,ระบำตารีกีปัส,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ตารีกีปัส, ธงไทย, ภาคใต้, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ, เครื่องประดับ, เพลงไทย",ชาวพื้นเมือง:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:name_exact; ตารีกีปัส:name_exact; ธงไทย:desc_fuzzy; ภาคใต้:desc_exact; เครื่องดนตรีตะวันตก:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_fuzzy; เครื่องดนตรีพื้นเมือง:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เครื่องประดับ:desc_fuzzy; เพลงไทย:desc_exact
36,ระบำร่อนแร่,"การรบ, การร่อนแร่, งานรื่นเริง, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ธงไทย, ภาคใต้, วานร, หญิงสาว, แหล่งน้ำ",การรบ:desc_fuzzy; การร่อนแร่:name_fuzzy; งานรื่นเริง:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_fuzzy; ตารี:desc_fuzzy; ธงไทย:desc_fuzzy; ภาคใต้:desc_exact; วานร:desc_fuzzy; หญิงสาว:desc_exact; แหล่งน้ำ:desc_exact
37,ฟ้อนเทียน,"กลางคืน, กะลา, จุดไฟ, ชาวเหนือ, ทำนองเพลง, ภาคเหนือ, สากล, หญิงสาว, เคลื่อนไหว, เพลงไทย, เวที",กลางคืน:desc_exact; กะลา:desc_fuzzy; จุดไฟ:desc_exact; ชาวเหนือ:desc_fuzzy; ทำนองเพลง:desc_fuzzy; ภาคเหนือ:desc_exact; สากล:desc_fuzzy; หญิงสาว:desc_exact; เคลื่อนไหว:desc_exact; เพลงไทย:desc_exact; เวที:name_fuzzy
38,ฟ้อนที,"ชาวพื้นเมือง, ชาวเหนือ, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ธงไทย, พื้นบ้านภาคใต้, ภาคเหนือ, เครื่องดนตรีพื้นบ้าน, แม่ฮ่องสอน",ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ธงไทย:desc_fuzzy; พื้นบ้านภาคใต้:desc_fuzzy; ภาคเหนือ:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_fuzzy; แม่ฮ่องสอน:desc_exact
39,ฟ้อนจันทราพาฝัน,"ชาวพื้นเมือง, ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, ภาคเหนือ, มโนราห์, ศิลปินแห่งชาติ, หญิงสาว, ออกรบ, เพลงชาวไทย, เพลงลาวคำหอม, เพลงไทย, แสงจันทร์",ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; ท่วงทำนอง:desc_exact; บทร้อง:desc_exact; ภาคเหนือ:desc_fuzzy; มโนราห์:name_fuzzy; ศิลปินแห่งชาติ:desc_exact; หญิงสาว:desc_exact; ออกรบ:desc_fuzzy; เพลงชาวไทย:desc_fuzzy; เพลงลาวคำหอม:desc_exact; เพลงไทย:desc_exact; แสงจันทร์:desc_exact
40,รองเง็ง,"การละเล่นพื้นเมือง, ค้าขาย, งานรื่นเริง, ชาวพื้นเมือง, ทะเล, ธงไทย, ผู้แสดงฝ่ายชาย, ผู้แสดงฝ่ายหญิง, ภาคใต้, มลายู, วานร, โปรตุเกส, ใบชา",การละเล่นพื้นเมือง:desc_exact; ค้าขาย:desc_exact; งานรื่นเริง:desc_exact; ชาวพื้นเมือง:desc_exact; ทะเล:desc_fuzzy; ธงไทย:desc_fuzzy; ผู้แสดงฝ่ายชาย:desc_fuzzy; ผู้แสดงฝ่ายหญิง:desc_fuzzy; ภาคใต้:desc_exact; มลายู:desc_exact; วานร:desc_fuzzy; โปรตุเกส:desc_exact; ใบชา:desc_fuzzy
41,ระบำเก็บใบชา,"กลับบ้าน, การละเล่นพื้นเมือง, การเก็บใบชา, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ชาวเหนือ, ทะเล, ธงไทย, ผึ่งแดด, ภาคเหนือ, วานร, ออกเดินทาง, เดินทาง, ใบชา",กลับบ้าน:desc_exact; การละเล่นพื้นเมือง:desc_exact; การเก็บใบชา:name_fuzzy; งานรื่นเริง:desc_fuzzy; ชาวพื้นเมือง:name_fuzzy; ชาวเขา:desc_exact; ชาวเหนือ:desc_fuzzy; ทะเล:desc_fuzzy; ธงไทย:desc_fuzzy; ผึ่งแดด:desc_exact; ภาคเหนือ:desc_exact; วานร:desc_fuzzy; ออกเดินทาง:desc_exact; เดินทาง:desc_exact; ใบชา:name_exact
42,กระทบสากหรือกระทบไม้,"กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, ชาวพื้นเมือง, ธงไทย, พระจันทร์, ภาคอีสาน, วานร, สากตำข้าว, สากล, สุรินทร์, อาสา, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก",กระทบไม้:name_exact; การละเล่นพื้นเมือง:desc_exact; กิจวัตร:desc_exact; ชาวพื้นเมือง:desc_fuzzy; ธงไทย:desc_fuzzy; พระจันทร์:desc_exact; ภาคอีสาน:desc_exact; วานร:desc_fuzzy; สากตำข้าว:desc_exact; สากล:name_fuzzy; สุรินทร์:desc_exact; อาสา:desc_fuzzy; อีสาน:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เต้นสาก:desc_exact
43,ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, ชั้นเดียว, ดอกไม้, ทำนอง, ทำนองเพลง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ละครพันทาง, สำเนียง, เจ้าดารารัศมี, เชียงใหม่, เพลงสำเนียงลาว, โรงละครแห่งชาติ",กรมศิลปากร:desc_exact; ข้าหลวง:desc_exact; ชั้นเดียว:desc_exact; ดอกไม้:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; พญาผานอง:desc_exact; พระชายา:desc_exact; พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว:desc_exact; ละครพันทาง:desc_exact; สำเนียง:desc_exact; เจ้าดารารัศมี:desc_exact; เชียงใหม่:desc_exact; เพลงสำเนียงลาว:desc_exact; โรงละครแห่งชาติ:desc_exact
44,ฟ้อนเล็บ,"ชาวเหนือ, ต้นรัง, ทำนองเพลง, ธงไทย, บทร้อง, พลลิง, ภาคเหนือ, สีทอง, เพลงไทย",ชาวเหนือ:desc_fuzzy; ต้นรัง:desc_fuzzy; ทำนองเพลง:desc_fuzzy; ธงไทย:desc_fuzzy; บทร้อง:desc_exact; พลลิง:desc_fuzzy; ภาคเหนือ:desc_exact; สีทอง:desc_exact; เพลงไทย:desc_exact
