item_name,item_key_norm,predicted_count,gold_count,TP,FP,FN,predicted_tokens,gold_tokens,tp_tokens,fp_tokens,fn_tokens
การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,การแสดงโขนเรื่องรามเกียรติ์ ตอน นารายณ์ปราบนนทก,15,13,13,2,0,"กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, รามเกียรติ์, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา","กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา","กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา","พระศิวะ, รามเกียรติ์",
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,15,15,14,1,1,"กิจจะ, ตัวพระ, ต่อสู้, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, รามเกียรติ์, อาวุธ, เขาไกรลาส, เข้าเฝ้า","กิจจะ, ตัวพระ, ต่อสู้, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, อวตาร, อาวุธ, เขาไกรลาส, เข้าเฝ้า","กิจจะ, ตัวพระ, ต่อสู้, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, อาวุธ, เขาไกรลาส, เข้าเฝ้า",รามเกียรติ์,อวตาร
การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,15,10,9,6,1,"กลอุบาย, กากนาสูร, การทอ, การรบ, การสอน, การไถ, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราชบัญชา, พระราม, มารีศ, รามเกียรติ์, แปลงกาย","กลอุบาย, กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราชบัญชา, พระราม, มารีศ, แปลงกาย","กลอุบาย, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราชบัญชา, พระราม, มารีศ, แปลงกาย","การทอ, การรบ, การสอน, การไถ, พระพรหม, รามเกียรติ์",กวางทอง
การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,15,10,10,5,0,"การรบ, การสอน, การไถ, ขีดขิน, น้องสาว, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, รามเกียรติ์, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา","ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา","ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา","การรบ, การสอน, การไถ, น้องสาว, รามเกียรติ์",
การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,15,12,11,4,1,"กรุงลงกา, กวางทอง, การรบ, การสอน, การไถ, จำกาย, ทศกัณฐ์, พระราม, พระลักษมณ์, มารีศ, รามเกียรติ์, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน","กรุงลงกา, กวางทอง, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน","กรุงลงกา, กวางทอง, จำกาย, ทศกัณฐ์, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน","การรบ, การสอน, การไถ, รามเกียรติ์",นางสีดา
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,15,23,14,1,9,"กราบทูล, กองทัพ, กาลสูร, ช้างเอราวัณ, ทำพิธี, นางฟ้า, พรหมาสตร์, พระอินทร์, มังกรกัณฐ์, รามเกียรติ์, รุทการ, สังหาร, สิ้นชีวิต, แปลงกาย, แปลงตัว","กราบทูล, กองทัพ, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, ทำพิธี, นางฟ้า, พรหมาสตร์, พระราม, พระอินทร์, มังกรกัณฐ์, รับสั่ง, รุทการ, ศรพรหมาสตร์, สังหาร, สิ้นชีวิต, อินทรชิต, เทวดา, แปลงกาย, แปลงตัว, แสงอาทิตย์, ไพร่พล","กราบทูล, กองทัพ, กาลสูร, ช้างเอราวัณ, ทำพิธี, นางฟ้า, พรหมาสตร์, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, แปลงกาย, แปลงตัว",รามเกียรติ์,"การุณราช, ทศกัณฐ์, พระราม, รับสั่ง, ศรพรหมาสตร์, อินทรชิต, เทวดา, แสงอาทิตย์, ไพร่พล"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,15,23,14,1,9,"กรุงลงกา, คู่ใจ, ท้าวลัสเตียน, นางสีดา, มารดา, รัชฎา, รับอาสา, รามเกียรติ์, วานร, วิรุญจำบัง, สมทบ, สัทธาสูร, หายตัว, อาสา, โอรส","กรุงลงกา, คู่ใจ, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, พญาทูษณ์, พระราม, พลวานร, มารดา, รัชฎา, รับอาสา, วานร, วิรุญจำบัง, วิรุณจำบัง, สงคราม, สมทบ, สัทธาสูร, หายตัว, อาสา, โอรส","กรุงลงกา, คู่ใจ, ท้าวลัสเตียน, นางสีดา, มารดา, รัชฎา, รับอาสา, วานร, วิรุญจำบัง, สมทบ, สัทธาสูร, หายตัว, อาสา, โอรส",รามเกียรติ์,"จารึก, ทศกัณฐ์, ท้าวสัทธาสูร, นิลพาหุ, พญาทูษณ์, พระราม, พลวานร, วิรุณจำบัง, สงคราม"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,15,22,14,1,8,"ข่ายเหล็ก, ชามพูวราช, ทำพิธี, พลลิง, มังกรกัณฐ์, รับอาสา, รามเกียรติ์, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, อาสา, เดินอากาศ, โอรส","ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, ทำพิธี, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส","ข่ายเหล็ก, ชามพูวราช, ทำพิธี, พลลิง, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, อาสา, เดินอากาศ, โอรส",รามเกียรติ์,"ขัดตาทัพ, ทศกัณฐ์, พระราม, พระลักษมณ์, พิเภก, หายตัว, อินทรชิต, เขาอังกาศ"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,15,22,14,1,8,"ขี่ม้า, ข่ายเพชร, จนตาย, บอกทาง, ฟองน้ำ, ภูเขา, รามเกียรติ์, วานร, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อาวุธ, เขาสัตภัณฑ์","ขี่ม้า, ข่ายเพชร, จนตาย, ดินดาล, ต่อสู้, ทศกัณฐ์, บอกทาง, พระยา, พระราม, ฟองน้ำ, ภูเขา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, ออกอุบาย, อาวุธ, เขาสัตภัณฑ์, เทวดา","ขี่ม้า, ข่ายเพชร, จนตาย, บอกทาง, ฟองน้ำ, ภูเขา, วานร, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อาวุธ, เขาสัตภัณฑ์",รามเกียรติ์,"ดินดาล, ต่อสู้, ทศกัณฐ์, พระยา, พระราม, วานรินทร์, ออกอุบาย, เทวดา"
การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกแสงอาทิตย์,15,13,13,2,0,"กองทัพ, การสอน, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, รามเกียรติ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","กองทัพ, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส","การสอน, รามเกียรติ์",
การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,15,9,9,6,0,"การทอ, การรบ, การสอน, การไถ, กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, รามเกียรติ์, สุครีพ, หนุมาน, หมดแรง, องคต, อสูร, ออกอุบาย","กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, ออกอุบาย","กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, ออกอุบาย","การทอ, การรบ, การสอน, การไถ, รามเกียรติ์, อสูร",
การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,15,14,13,2,1,"การสอน, กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, รามเกียรติ์, สุครีพ, หมดแรง, องคต, อนุชา, ออกศึก, ออกอุบาย, เชษฐา","กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, ออกศึก, ออกอุบาย, เชษฐา","กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, สุครีพ, หมดแรง, องคต, อนุชา, ออกศึก, ออกอุบาย, เชษฐา","การสอน, รามเกียรติ์",หนุมาน
การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,การแสดงโขนเรื่องรามเกียรติ์ ตอน หนุมานชาญสมร,15,21,13,2,8,"กรุงลงกา, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระศิวะ, พระองค์, รามเกียรติ์, วานร, หนุมาน","กรุงลงกา, กองทัพ, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระองค์, พระอิศวร, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว","กรุงลงกา, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระองค์, วานร, หนุมาน","พระศิวะ, รามเกียรติ์","กองทัพ, พระราม, พระอิศวร, พลับพลา, รับใช้, สวามิภักดิ์, อวตาร, เขี้ยวแก้ว"
กินนรีร่อนออกมโนราห์บูชายัญ,กินนรีร่อนออกมโนราห์บูชายัญ,13,7,7,6,0,"กระบวนท่ารำ, กินรี, จับระบำ, ตารี, นางกินรี, นายขวัญ, บูชายัญ, มโนราห์, มโนห์รา, ละครชาตรี, สระอโนดาต, เล่นน้ำ, ใบชา","กระบวนท่ารำ, กินรี, นางกินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","กระบวนท่ารำ, กินรี, นางกินรี, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ","จับระบำ, ตารี, นายขวัญ, บูชายัญ, มโนห์รา, ใบชา",
กีปัสเรนัง,กีปัสเรนัง,15,7,7,8,0,"ขบวนแห่, ขับลำ, ขับไล่, ชาวพื้นเมือง, ตารี, ตารีกีปัส, ธงไทย, บุหงา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, วานร","ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, มลายู","ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, มลายู","ขับลำ, ชาวพื้นเมือง, ตารี, ตารีกีปัส, ธงไทย, บุหงา, ภาคใต้, วานร",
จตุรภาคี,จตุรภาคี,13,8,7,6,1,"กะลา, ชาวเหนือ, ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, ลำเพลิน, สากล, สี่ภาค, เถิดเทิง, เพลงไทย","ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ลําเพลิน, สี่ภาค, เถิดเทิง","ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, สี่ภาค, เถิดเทิง","กะลา, ชาวเหนือ, ภาคใต้, ลำเพลิน, สากล, เพลงไทย",ลําเพลิน
ฉุยฉายทศกัณฐ์ลงสวน,ฉุยฉายทศกัณฐ์ลงสวน,10,7,7,3,0,"กรุงลงกา, กะลา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, ปางลีลา, พวงมาลัย, มือขวา, รามเกียรติ์, องคต","กรุงลงกา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, มือขวา, รามเกียรติ์","กรุงลงกา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, มือขวา, รามเกียรติ์","กะลา, ปางลีลา, องคต",
ฉุยฉายพราหมณ์,ฉุยฉายพราหมณ์,15,11,11,4,0,"ฉุยฉาย, ชาวพื้นเมือง, พระคเณศ, พระนารายณ์, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, รจนา, สากล, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย","ฉุยฉาย, พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย","ฉุยฉาย, พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย","ชาวพื้นเมือง, พระศิวะ, รจนา, สากล",
ฉุยฉายยอพระกลิ่น,ฉุยฉายยอพระกลิ่น,15,9,9,6,0,"กะลา, ฉุยฉาย, นางเอก, ปางลีลา, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี, องคต, ออกเดินทาง, เครื่องแบบ, เดินทาง","ฉุยฉาย, นางเอก, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี, ออกเดินทาง, เดินทาง","ฉุยฉาย, นางเอก, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี, ออกเดินทาง, เดินทาง","กะลา, ปางลีลา, พระลอ, ละครใน, องคต, เครื่องแบบ",
ฉุยฉายวันทอง,ฉุยฉายวันทอง,15,8,8,7,0,"กลอุบาย, ขุนช้าง, ขุนแผน, ฉุยฉาย, ทำนอง, บุตรชาย, ปางลีลา, พระชายา, พระไวย, มารดา, วันทอง, สีทอง, องคต, ออกอุบาย, แปลงกาย","กลอุบาย, ขุนแผน, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","กลอุบาย, ขุนแผน, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","ขุนช้าง, ทำนอง, ปางลีลา, พระชายา, สีทอง, องคต, ออกอุบาย",
ฉุยฉายศูรปนขา,ฉุยฉายศูรปนขา,15,8,8,7,0,"กะลา, ฉุยฉาย, ต้นขา, ทศกัณฐ์, น้องสาว, ปางลีลา, พระราม, พระสวามี, ยักษิณี, รามเกียรติ์, วานร, ศูรปนขา, องคต, อาสา, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, รามเกียรติ์, ศูรปนขา, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, รามเกียรติ์, ศูรปนขา, แปลงกาย","กะลา, ต้นขา, ปางลีลา, พระสวามี, วานร, องคต, อาสา",
ฉุยฉายหนุมานทรงเครื่อง,ฉุยฉายหนุมานทรงเครื่อง,15,11,11,4,0,"ฉุยฉาย, ชายหนุ่ม, ทศกัณฐ์, ทหารเอก, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประดับ, เครื่องแบบ, เดินทาง","ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องแบบ, เดินทาง","ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องแบบ, เดินทาง","ชายหนุ่ม, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประดับ",
ฉุยฉายเบญกาย,ฉุยฉายเบญกาย,15,8,8,7,0,"กะลา, จำกาย, ฉุยฉาย, ทศกัณฐ์, นางสีดา, ปางลีลา, พระยา, พระราม, พระสวามี, รามเกียรติ์, สงคราม, สังข์ทอง, องคต, เบญกาย, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, รามเกียรติ์, สงคราม, เบญกาย, แปลงกาย","ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, รามเกียรติ์, สงคราม, เบญกาย, แปลงกาย","กะลา, จำกาย, ปางลีลา, พระยา, พระสวามี, สังข์ทอง, องคต",
