ลำดับ,ประเภทชุดการแสดง,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,จำนวนผู้แสดง,ระยะเวลาการแสดง (นาที), ราคาต่อชุด ,ประเภทการแสดง,บริบทย่อย,บริบทหลัก
11,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,วันลอยกระทง,งานเทศกาล
12,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
13,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
14,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
15,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,งานทำบุญ,งานมงคล
16,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,งานวันเกิด,งานมงคล
17,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,งานแต่งงาน,งานมงคล
18,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,งานขึ้นบ้านใหม่,งานมงคล
19,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,งานเปิดบริษัท,งานมงคล
20,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
21,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
22,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,วันลอยกระทง,งานเทศกาล
23,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
24,การแสดงนาฏศิลป์สร้างสรรค์,จตุรภาคี,"จตุรภาคี เป็นการแสดงที่นําศิลปะการแสดงทั้งสี่ภาคของประเทศไทย
มาแสดงติดต่ออยู่ในชุดเดียวกัน เริ่มด้วย ฟ้อนที่เป็นศิลปะของภาคเหนือ 
รําเถิดเทิงของภาคกลาง ตารีกีปัสของภาคใต้ และลําเพลินของ
ภาคตะวันออกเฉียงเหนือ นับเป็นการแสดงที่น่าชมอย่างยิ่ง",8,10," 16,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
25,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
26,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,งานขึ้นบ้านใหม่,งานมงคล
27,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,งานเปิดบริษัท,งานมงคล
28,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
29,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
30,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,วันลอยกระทง,งานเทศกาล
31,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
32,การแสดงนาฏศิลป์สร้างสรรค์,เจ้าพระยานที,"เจ้าพระยานที เป็นการแสดงที่ได้แนวคิดมาจากแม่นํ้าเจ้าพระยา แม่นํ้าสายหลัก
ที่สําคัญของไทย เกิดจากการรวมตัวของแม่นํ้า ปิง วัง ยม น่าน ถือเป็นสายนํ้า
แห่งชาติที่หล่อเลี้ยงผู้คนในแผ่นดิน มีเรื่องราววิถีชีวิตสองริมฝั่งน้ำ หล่อหลอม
เป็นมรดกวัฒนธรรมที่สืบทอดมายาวนาน ผ่านประวัติศาสตร์และขนบธรรมเนียม
ประเพณีจากรุ่นสู่รุ่น แผ่อิทธิพลความงามและเรื่องราวของสายนํ้าเป็นที่กล่าวขาน
รู้จักนาม แม่นํ้าเจ้าพระยา สู่นานาประเทศ ด้วยความสำนึกรักศรัทธา กตัญญู
อันเป็นคุณูปการและเพื่อเชิดชูสายนํ้าแห่งวัฒนธรรม สายนํ้าแห่งความงดงามของชาติ ",6,10," 12,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
