Words,lvl1,lvl2,lvl3,agreement,n_models,consensus_label,artifact_id
กลองยาว,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,0.75,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > เครื่องดนตรีและวงดนตรี
กลองสะบัดชัย,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,1.0,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > เครื่องดนตรีและวงดนตรี
กลอุบาย,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,0.5,4,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,ศิลปะการแสดงและดนตรี > บุคลากรและทักษะทางศิลปะ > กลวิธีและสมรรถนะการแสดง
กลับบ้าน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.75,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
กลางคืน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
กลายร่าง,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,0.5,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||คติความเชื่อและไสยศาสตร์||การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > คติความเชื่อและไสยศาสตร์ > การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ
กลุ่มชาติพันธุ์,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||อัตลักษณ์ทางสังคมและกลุ่มคน||กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > อัตลักษณ์ทางสังคมและกลุ่มคน > กลุ่มชาติพันธุ์และชุมชนท้องถิ่น
กวางทอง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
กสิกรรม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและระบบเศรษฐกิจ > การประกอบอาชีพและโภชนาการ
กองทัพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ยุคสมัยและเหตุการณ์สำคัญ > ลำดับเวลาและประวัติศาสตร์การสงคราม
กองไฟ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,0.75,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
กะลา,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,0.5,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||วัสดุและอัญมณี||วัสดุธรรมชาติและรัตนชาติ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > วัสดุและอัญมณี > วัสดุธรรมชาติและรัตนชาติ
กากนาสูร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
กาญจนบุรี,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
การขับร้อง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,1.0,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > ระเบียบวิธีทางดนตรีและประเภทบทเพลง
การขึ้นลอย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,0.5,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
การจับปลา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและระบบเศรษฐกิจ > การประกอบอาชีพและโภชนาการ
การดีด,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,0.5,4,ศิลปะการแสดงและดนตรี||บุคลากรและทักษะทางศิลปะ||กลวิธีและสมรรถนะการแสดง,ศิลปะการแสดงและดนตรี > บุคลากรและทักษะทางศิลปะ > กลวิธีและสมรรถนะการแสดง
การตีกลอง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,0.75,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > เครื่องดนตรีและวงดนตรี
การต่อสู้,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,0.75,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ยุคสมัยและเหตุการณ์สำคัญ > ลำดับเวลาและประวัติศาสตร์การสงคราม
การทอ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,0.5,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > ประณีตศิลป์และทัศนศิลป์ > งานช่างศิลปกรรมและเทคนิควิธี
การทำขวัญ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
การนุ่งห่ม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,1.0,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > พัสตราภรณ์และเครื่องแต่งกาย > ระเบียบการแต่งกายและอาวุธจำลอง
การปั้น,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,1.0,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > ประณีตศิลป์และทัศนศิลป์ > งานช่างศิลปกรรมและเทคนิควิธี
การรบ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ยุคสมัยและเหตุการณ์สำคัญ > ลำดับเวลาและประวัติศาสตร์การสงคราม
การร่อนแร่,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและระบบเศรษฐกิจ > การประกอบอาชีพและโภชนาการ
การละเล่นพื้นเมือง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,0.5,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น
การศึก,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ยุคสมัยและเหตุการณ์สำคัญ||ลำดับเวลาและประวัติศาสตร์การสงคราม,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ยุคสมัยและเหตุการณ์สำคัญ > ลำดับเวลาและประวัติศาสตร์การสงคราม
การสอน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.5,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
การุณราช,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.25,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
การเกี้ยวพาราสี,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,0.5,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
การเก็บใบชา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและระบบเศรษฐกิจ > การประกอบอาชีพและโภชนาการ
การโปรย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
การไถ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,1.0,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและระบบเศรษฐกิจ||การประกอบอาชีพและโภชนาการ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและระบบเศรษฐกิจ > การประกอบอาชีพและโภชนาการ
กาลสูร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.75,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
กาฬสินธุ์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
กิจจะ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,0.75,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
กิจวัตร,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.75,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
กินรี,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
กินเนสส์บุ๊ค,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,0.25,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||วิถีชีวิตและพฤติกรรมทางสังคม||จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > วิถีชีวิตและพฤติกรรมทางสังคม > จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต
กุณฑล,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,0.75,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||พัสตราภรณ์และเครื่องแต่งกาย||ระเบียบการแต่งกายและอาวุธจำลอง,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > พัสตราภรณ์และเครื่องแต่งกาย > ระเบียบการแต่งกายและอาวุธจำลอง
กุมภกรรณ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,1.0,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
กุลสตรี,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,0.5,4,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต||โครงสร้างสังคมและบุคคลสำคัญ||ฐานันดรศักดิ์และบทบาททางสังคม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต > โครงสร้างสังคมและบุคคลสำคัญ > ฐานันดรศักดิ์และบทบาททางสังคม
ขนเพชร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
ขบวนแห่,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
ขอขมา,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,1.0,4,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม||จารีตประเพณีและพิธีกรรม||พิธีการสำคัญและจารีตทางสังคม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม > จารีตประเพณีและพิธีกรรม > พิธีการสำคัญและจารีตทางสังคม
ของที่ระลึก,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,0.5,4,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง||ประณีตศิลป์และทัศนศิลป์||งานช่างศิลปกรรมและเทคนิควิธี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง > ประณีตศิลป์และทัศนศิลป์ > งานช่างศิลปกรรมและเทคนิควิธี
