word,cluster_label,cluster_size
การทำขวัญ,1,223
ขบวนแห่,2,198
เขาไกรลาส,3,214
จำแลง,0,265
หยอกล้อ,2,198
อุปสรรค,1,223
ลาวครั่ง,0,265
ยักษิณี,0,265
จนตาย,0,265
เบิกโรง,3,214
การร่อนแร่,3,214
แตกทัพ,0,265
อาวุธ,1,223
ผู้แสดงฝ่ายชาย,3,214
ร่มเย็น,2,198
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
เชิงบันได,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
เบญกาย,0,265
เพลงเร็ว,3,214
พลวานร,1,223
ดำรงตำแหน่ง,0,265
ท้าวสัทธาสูร,0,265
บุปเพสันนิวาส,1,223
พระพาย,0,265
อินทรชิต,1,223
บรรพต,1,223
ดินดาล,0,265
อันหนึ่งอันเดียว,0,265
ธิเบศร์,3,214
จับระบำ,1,223
พระราม,2,198
คู่ใจ,0,265
การุณราช,0,265
แสงจันทร์,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ทับทิม,0,265
หมากกั๊บแก๊บ,2,198
วิรุญมุข,1,223
เจ้าเซ็น,0,265
ภาชนะดินเผา,1,223
สะเดาะ,3,214
สิบแปดมงกุฎ,0,265
ข้าหลวง,3,214
ไม้สั้น,0,265
ไทยจักรี,2,198
ต้นขา,2,198
ปัดเป่า,1,223
สังคีตศิลป์,3,214
ศุภลักษณ์,1,223
เพลงชำนาญ,2,198
แควน้อย,1,223
พระไวย,2,198
มือซ้าย,0,265
อินเดีย,3,214
พระแพง,0,265
พระคเณศ,1,223
อุษา,1,223
พญาทูษณ์,1,223
เอาชนะ,2,198
พระเอก,1,223
เทพธิดา,2,198
รำคู่,3,214
ไทยศิวาลัย,3,214
พญาขร,2,198
ละครนอก,0,265
เพลงยอดชายใจหาญ,1,223
อีสาน,2,198
ออกศึก,0,265
พระแม่คงคา,0,265
กลอุบาย,2,198
พระอุมา,2,198
สมัยโบราณ,3,214
ไทยจีน,3,214
ปัตตานี,3,214
กำเริบ,1,223
ประจำปี,3,214
ผู้มีพระคุณ,0,265
บริวาร,1,223
กุณฑล,1,223
พระสังข์,0,265
กระทบไม้,3,214
ริมแม่น้ำ,1,223
ออกเดินทาง,2,198
มเหสี,2,198
เพลงชาวไทย,1,223
ตารีกีปัส,2,198
ครั้งสุดท้าย,2,198
สมทบ,1,223
ทัพหน้า,0,265
ฟาดฟัน,2,198
บอกทาง,0,265
นางรื่น,1,223
ย่านาง,0,265
ผลงาน,3,214
ช้างเอราวัณ,2,198
กราบทูล,2,198
สมรภูมิ,3,214
ตำนาน,1,223
สวัสดิมงคล,1,223
สิ้นชีพ,0,265
หล่อเลี้ยง,3,214
ประกาศ,0,265
อวตาร,3,214
เทวดา,0,265
ตารี,3,214
กองไฟ,3,214
ปราสาทพนมรุ้ง,2,198
อิทธิฤทธิ์,0,265
มรดก,0,265
สิ้นชีวิต,2,198
กลับบ้าน,1,223
พระพรหม,0,265
พลลิง,0,265
วานรินทร์,0,265
มวยโบราณ,0,265
ทหารเอก,2,198
สอดแทรก,1,223
นางพญาคำปิน,2,198
ท้าวพิชัยพิษณุกร,0,265
เพลงดวงจันทร์วันเพ็ญ,3,214
นิ้วเพชร,2,198
ขีดขิน,0,265
พิเภก,2,198
ไทยดุสิต,2,198
บิดา,0,265
ขุนแผน,0,265
รัชฎา,2,198
ท้าวลัสเตียน,3,214
พระอิศวร,0,265
เขี้ยวแก้ว,0,265
กิจจะ,0,265
ตะเขิ่ง,2,198
ขอขมา,3,214
ฤาษี,0,265
เพลงมอญดูดาว,2,198
พัดเรนัง,2,198
บินหนี,1,223
สำมนักขา,0,265
สัทธาสูร,0,265
เพลงดอกไม้ของชาติ,0,265
นางอัปสราบายน,3,214
ต้นลีลาวดี,0,265
กินรี,1,223
ระบำมาตรฐาน,0,265
เกราะลอ,1,223
เมขลา,1,223
บุรีรัมย์,1,223
สีแดง,1,223
กินเนสส์บุ๊ค,1,223
พระญาติ,0,265
กลายร่าง,0,265
ถอยทัพ,2,198
ใบชา,0,265
ตะกร้อ,0,265
อาสา,0,265
ตีลังกา,1,223
โปงลาง,0,265
ชาวนา,0,265
วิชนี,0,265
จำกาย,0,265
สีน้ำเงิน,1,223
วันทอง,0,265
แว่นแก้วสุรกานต์,1,223
อุปราช,2,198
แปลงกาย,0,265
กิจวัตร,2,198
ศิลปินแห่งชาติ,0,265
เจ้าพระยา,0,265
กากนาสูร,1,223
รจนา,1,223
กวางทอง,0,265
นิลพาหุ,1,223
พระเจ้าชัยวรมัน,2,198
การยุติ,3,214
ประทาน,3,214
อากัปกิริยา,2,198
ขั้นพื้นฐาน,1,223
หาทาง,3,214
กรมศิลปากร,3,214
หายตัว,0,265
บูชาครู,0,265
ผึ่งแดด,2,198
เจ้าเงาะ,0,265
กาลสูร,3,214
ลอยกระทง,1,223
ศีรษะ,2,198
การขึ้นลอย,0,265
ตัวพระ,0,265
วิรุญจำบัง,3,214
ยมะ,1,223
ปราสาทเมืองสิงห์,2,198
ปราสาทหินพิมาย,0,265
รามเกียรติ์,0,265
การเกี้ยวพาราสี,1,223
ไทยบรมพิมาน,2,198
ไม้ยาว,0,265
วานร,1,223
อาจารย์,0,265
โกเมน,1,223
กรับพวง,3,214
ไทยจักรพรรดิ์,2,198
พระชายา,1,223
สมควร,1,223
มือขวา,2,198
จีนรัว,0,265
มณีพิชัย,2,198
แมนสรวง,0,265
นานาชาติ,1,223
สวามิภักดิ์,2,198
สำเนียง,0,265
พาลี,3,214
นครศรีธรรมราช,2,198
ผางประทีป,0,265
ฟองน้ำ,1,223
ท่วงทำนอง,3,214
โอดิสสี,2,198
กุมภกรรณ,2,198
พญาผานอง,0,265
ละครดึกดำบรรพ์,0,265
ผู้แสดงฝ่ายหญิง,0,265
ชามพูวราช,0,265
พระลักษมณ์,1,223
ข่ายเพชร,0,265
รามสูร,2,198
ศรพรหมาสตร์,2,198
ปราสาทพระขรรค์,2,198
แม่ไม้มวย,0,265
มงคล,1,223
ยอพระกลิ่น,2,198
งานรื่นเริง,2,198
หนุมาน,1,223
เวที,3,214
รำพัด,0,265
จุดไฟ,1,223
รุทการ,3,214
ออกอุบาย,0,265
เชิงมวย,0,265
เชียงใหม่,3,214
แก้แค้น,1,223
ชายหนุ่ม,2,198
บทละคร,3,214
เพลงอัตราจังหวะสองชั้น,1,223
น้อยใจยา,2,198
พระราชธิดา,2,198
ประติมากรรม,3,214
ภาษามลายู,3,214
ย่องหงิด,3,214
